disc,link,state,inst,prgm,dept,admin,geog_name,geog_dept,AA,ASc,BS,BA,MS,MA,PhD,Associates Degree in Geography/Geographic Sciences and another subject,Bachelors Degree in Geography/Geographic Sciences and another subject,Masters Degree in Geography and another subject,PhD Degree in Geography and another subject,Notes,UGrad Concentrations
,https://www.itascacc.edu/gis#programs,MN,Itasca Community College,Geography and GIS, ,,,,x,,,,,,,,,,,equivalent,
,https://www.usm.edu/biological-environmental-earth-sciences/#our-programs-list,MS,University of Southern Mississippi,Geography,,"School of Biological, Environmental, and Earth Sciences",,,,,x,,x,,,,,,,,
"Agricultural Geography Applied Geography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Geography Environmental Studies Geomorphology GIS GIS Certificate Program Historical Geography Physical Geography/General Planning (Regional/Urban) Remote Sensing Rural Geography Urban Geography Water Resources",https://geosciences.missouristate.edu/Geography/,MO,Missouri State University,,"Department of Geography, Geology, and Planning",College of Natural and Applied Sciences,x,,,,x,x,,,,,,,,,
"Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Environmental Studies Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Historical Geography Location Theory Physical Geography/General Planning (Regional/Urban) Political Ecology Population Geography Quantitative Methods Recreation and Tourism Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://geography.missouri.edu/,MO,"University of Missouri, Columbia",,Department of Geography,College of Arts and Science,x,x,,,,x,,x,,,,,,,
"Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Geography GIS GIS Certificate Program Hazards Physical Geography/General Political Geography Quantitative Methods Remote Sensing Urban Geography",http://www.nwmissouri.edu/socialsciences/programs/index.htm,MO,Northwest Missouri State University,,Department of Humanities and Social Sciences,,,,,,x,x,,,,,,,,,
"Climatology/Meteorology Conservation, Land Use, Resource Management Economic Development Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Location Theory Physical Geography/General Planning (Regional/Urban) Political Ecology Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Transportation and Communication Urban Geography Water Resources",https://www.cfc.umt.edu/geography/,MT,University of Montana,,Department of Geography,W.A. Franke College of Forestry and ConservationGeography,x,x,,,x,x,x,,,,,,,,
"Agricultural Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Economic Geography Environmental Studies Gender Geographic Education GIS GIS Certificate Program Hazards Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Quantitative Methods Remote Sensing Urban Geography Water Resources",https://www.unomaha.edu/college-of-arts-and-sciences/geography/index.php,NE,"University of Nebraska, Omaha",,Department of Geography and Geology,College of Arts and Sciences,x,,,,x,,x,,,,,,,,
"Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Energy Environmental Studies Gender Geomorphology GIS GIS Certificate Program Historical Geography Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Urban Geography Water Resources",https://www.unl.edu/gradstudies/department/geography,NE,"University of Nebraska, Lincoln",,Department of Geography,"College of Arts and Sciences
",x,x,,,x,x,,x,x,,,,,School of Global Integrative Studies,
"Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Energy Environmental Studies Gender Geographic Education GIS Hazards Historical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Quantitative Methods Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://www.unr.edu/geography/,NV,"University of Nevada, Reno",,Department of Geography,College of Science,x,x,,,x,x,x,,x,,,,,The Mackay School of Earth Sciences and Engineering,
Climatology/Meteorology  Economic Geography  Geomorphology  GIS  Hazards  Physical Geography/General  Political Ecology  Political Geography  Population Geography  Remote Sensing,https://cola.unh.edu/geography,NH,University of New Hampshire,,Department of Geography,College of Liberal Arts,x,x,,,,x,,,,,,,,,
Environmental Studies GIS GIS Certificate Program Recreation and Tourism,https://coursecatalog.plymouth.edu/undergraduate-courses/ge/,NH,Plymouth State University,,Department of Social Science,,,,,,x,,,,,,x,,,BS Geography and Environmental Planning,
"Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Gender GIS Medical Geography Physical Geography/General Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Rural Geography Social Geography Urban Geography Water Resources",https://geography.dartmouth.edu/,NH,Dartmouth College,,Department of Geography,,x,x,,,,x,,,,,,,,,
"Agricultural Geography Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Geography Environmental Studies Gender Geomorphology GIS GIS Certificate Program Hazards Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Remote Sensing Urban Geography Water Resources",https://geography.rutgers.edu/,NJ,Rutgers University,,Department of Geography,School of Arts and Sciences,x,x,,,,x,x,x,x,,,,,,
"Conservation, Land Use, Resource Management Cultural Geography Environmental Studies Geographic Education GIS GIS Certificate Program Planning (Regional/Urban) Remote Sensing Transportation and Communication Urban Geography Water Resources",https://earth.rowan.edu/departments/geography/academics/geog.html,NJ,Rowan University,,"Department of Geography, Planning and Sustainability",School of Earth and Environment,x,,,,,x,,,,,,,,,
